"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0I460","2019-09-23 00:00:00","110.000","185.000","0.800","23.800","0.800","1001.700","","0.000","-99.000","-99.000","-99.000","30.500","","22.400",""
"C0A9F0","2019-09-23 00:00:00","35.000","0.000","0.000","22.600","0.880","1012.800","","0.000","-99.000","-99.000","-99.000","27.100","","20.500",""
"C0F9A0","2019-09-23 00:00:00","425.000","145.000","0.700","21.100","0.870","965.800","","0.000","-99.000","-99.000","-99.000","29.700","","20.800",""
"C0O950","2019-09-23 00:00:00","4.000","345.000","1.100","23.700","0.830","1012.800","","0.000","-99.000","-99.000","-99.000","29.500","","23.400",""
"C0M760","2019-09-23 00:00:00","40.000","355.000","0.800","23.100","0.840","1009.800","","0.000","-99.000","-99.000","-99.000","30.300","","23.100",""
"C0AH70","2019-09-23 00:00:00","34.000","261.000","0.800","23.200","0.700","1012.500","","0.000","-99.000","-99.000","-99.000","27.400","","21.400",""
"C0V250","2019-09-23 00:00:00","298.000","196.000","0.600","21.700","0.980","980.200","","0.000","-99.000","-99.000","-99.000","30.200","","21.100",""
"C0U980","2019-09-23 00:00:00","573.000","326.000","2.300","18.400","0.960","952.900","","0.000","-99.000","-99.000","-99.000","22.600","","18.400",""
"C0S740","2019-09-23 00:00:00","289.000","46.000","1.900","20.700","1.000","983.800","","5.000","-99.000","-99.000","-99.000","24.300","","20.700",""
"C0A940","2019-09-23 00:00:00","49.000","55.000","1.200","24.300","0.760","1010.800","","0.000","-99.000","-99.000","-99.000","26.500","","20.900",""
"C0A920","2019-09-23 00:00:00","196.000","23.000","1.000","22.600","1.000","993.100","","0.000","-99.000","-99.000","-99.000","26.200","","21.900",""
"C0T870","2019-09-23 00:00:00","135.000","0.000","0.000","20.800","0.960","1000.600","","15.000","-99.000","-99.000","-99.000","23.300","","20.500",""
"C0O930","2019-09-23 00:00:00","69.000","0.000","0.000","21.500","1.000","1006.900","","0.000","-99.000","-99.000","-99.000","30.800","","21.300",""
"C0AI40","2019-09-23 00:00:00","37.000","138.000","0.800","23.000","0.760","1012.200","","0.000","-99.000","-99.000","-99.000","27.100","","20.700",""
"C0C460","2019-09-23 00:00:00","482.000","0.000","0.000","18.100","0.910","962.700","","0.000","-99.000","-99.000","-99.000","22.800","","17.100",""
"C0E520","2019-09-23 00:00:00","320.000","74.000","0.400","19.300","0.920","978.900","","0.000","-99.000","-99.000","-99.000","28.500","","19.200",""
"C0T9D0","2019-09-23 00:00:00","7.000","275.000","0.500","21.800","0.990","1015.200","","6.500","-99.000","-99.000","-99.000","24.500","","21.000",""
"C0I390","2019-09-23 00:00:00","1184.000","0.000","0.000","18.200","0.990","887.900","","2.500","-99.000","-99.000","-99.000","22.100","","16.400",""
"C0B020","2019-09-23 00:00:00","86.000","7.000","6.000","25.000","0.980","1004.200","","0.000","-99.000","-99.000","-99.000","26.000","","22.200",""
"C0F860","2019-09-23 00:00:00","2215.000","200.000","0.400","13.000","1.000","783.000","","0.500","-99.000","-99.000","-99.000","18.800","","12.800",""
"C0U890","2019-09-23 00:00:00","116.000","269.000","1.400","22.700","0.780","1004.100","","0.000","-99.000","-99.000","-99.000","28.300","","22.600",""
"C0G800","2019-09-23 00:00:00","15.000","34.000","3.900","23.300","0.690","1012.400","","0.000","-99.000","-99.000","-99.000","29.500","","22.500",""
"C0F850","2019-09-23 00:00:00","379.000","0.000","0.000","20.700","0.910","971.200","","0.000","-99.000","-99.000","-99.000","28.600","","20.500",""
"C0AH50","2019-09-23 00:00:00","275.000","0.000","0.200","22.600","0.990","984.800","","0.000","-99.000","-99.000","-99.000","25.000","","20.900",""
"C0Z160","2019-09-23 00:00:00","124.000","243.000","0.600","21.700","0.910","1003.100","","9.500","-99.000","-99.000","-99.000","24.200","","18.900",""
"C0R540","2019-09-23 00:00:00","17.000","7.000","0.400","26.500","0.740","1011.600","","0.000","-99.000","-99.000","-99.000","29.300","","24.700",""
"C0K480","2019-09-23 00:00:00","56.000","348.000","1.100","22.500","0.840","1007.500","","0.000","-99.000","-99.000","-99.000","29.400","","22.500",""
"C0H890","2019-09-23 00:00:00","440.000","202.000","0.500","22.000","0.880","964.000","","0.000","-99.000","-99.000","-99.000","28.400","","20.000",""
"C0M850","2019-09-23 00:00:00","695.000","0.000","0.000","20.100","0.920","936.000","","0.000","-99.000","-99.000","-99.000","26.500","","19.000",""
"C0G790","2019-09-23 00:00:00","27.000","15.000","0.800","22.000","0.830","1012.800","","0.000","-99.000","-99.000","-99.000","31.000","","21.800",""
